"id","major_id","year","method","score","note","url","created_at","updated_at"
107,45,2024,"Diem thi THPT",26.96,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.158192","2026-08-11 13:54:02.158192"
108,46,2024,"Diem thi THPT",26.86,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.158792","2026-08-11 13:54:02.158792"
109,47,2024,"Diem thi THPT",26.96,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.159223","2026-08-11 13:54:02.159223"
110,48,2024,"Diem thi THPT",36.36,"Môn Tiếng Anh hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.159649","2026-08-11 13:54:02.159649"
111,49,2024,"Diem thi THPT",35.65,"Môn Tiếng Anh hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.160057","2026-08-11 13:54:02.160057"
112,50,2024,"Diem thi THPT",27.45,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.16037","2026-08-11 13:54:02.16037"
113,51,2024,"Diem thi THPT",26.96,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.16066","2026-08-11 13:54:02.16066"
114,52,2024,"Diem thi THPT",36.42,"Môn Tiếng Anh hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.160941","2026-08-11 13:54:02.160941"
115,63,2024,"Diem thi THPT",35.46,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.161822","2026-08-11 13:54:02.161822"
116,64,2024,"Diem thi THPT",34.50,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.163456","2026-08-11 13:54:02.163456"
117,65,2024,"Diem thi THPT",34.06,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.164665","2026-08-11 13:54:02.164665"
118,66,2024,"Diem thi THPT",36.55,"Môn Tiếng Anh hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.165655","2026-08-11 13:54:02.165655"
119,53,2024,"Diem thi THPT",26.70,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.166083","2026-08-11 13:54:02.166083"
120,54,2024,"Diem thi THPT",35.80,"Môn Tiếng Anh hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.166421","2026-08-11 13:54:02.166421"
